,RMSD_6eqe_1
1621,0.171449
1622,0.17455213
1623,0.17551914
1624,0.16694276
1625,0.18104395
1626,0.1799622
1627,0.17735112
1628,0.17527933
1629,0.16860798
1630,0.16570133
1631,0.16880289
1632,0.1630151
1633,0.167668
1634,0.17040357
1635,0.15979485
1636,0.16818413
1637,0.17201306
1638,0.1733799
1639,0.1643575
1640,0.17053068
1641,0.16918151
1642,0.16914986
1643,0.1674672
1644,0.16963442
1645,0.16207099
1646,0.16210088
1647,0.1698732
1648,0.17025392
1649,0.16072376
1650,0.1749387
1651,0.16887988
1652,0.17355624
1653,0.1755017
1654,0.17350481
1655,0.16822201
1656,0.1742832
1657,0.16840981
1658,0.17043199
1659,0.17064872
